repository_full_name,number_contributor,number_stars,created_date,description,language,number_commit,sloc,archived,accessible,num_stars,num_forks,num_contributor,num_commit,Contributors,Stars,Commit,Size
YahyaAlaaMassoud/Sensor-Fusion,2.0,29.0,2020-11-06T00:59:54Z,"Source code for the GPT-2 story generation models in the EMNLP 2020 paper ""STORIUM: A Dataset and Evaluation Platform for Human-in-the-Loop Story Generation""",Python,165.0,270.0,False,True,,,,,,,,
sonineties/macaque-reloaded,4.0,34.0,2022-01-21T09:53:22Z,Python client for MLflow REST API,Python,367.0,674.0,False,True,,,,,,,,
webnizam/anpr-falcon-ai,2.0,2.0,2022-10-31T20:04:52Z,Automatic Number Plate Recognition Model,Python,2462.0,71014.0,False,True,,,,,,,,
xueyongfu/bert-cluster,12.0,813.0,2016-11-19T02:42:09Z,Descriptive Deep Learning,Python,1218.0,1873.0,,False,,,,,,,,
mdsohaib/Customer_Revenue_Prediction_ML_App_Using_Django,5.0,2.0,2022-12-10T20:20:54Z,,Python,106.0,119101.0,False,True,,,,,,,,
Shivanshu-Gupta/semeval-2020-task-7-humor-in-headlines,3.0,296.0,2017-08-22T13:55:27Z,Learning to create Machine Learning Algorithms,Python,100.0,11362.0,False,True,,,,,,,,
dkobylianskii/leptonTag,4.0,3.0,2021-02-19T07:37:44Z,Social Computing Project,Jupyter Notebook,256.0,57124.0,,False,,,,,,,,
wasiwasi/intagral,2.0,78.0,2020-10-01T19:36:47Z,A graph neural network tailored to directed acyclic graphs that outperforms conventional GNNs by leveraging the partial order as strong inductive bias besides other suitable architectural features.,Python,333.0,11582.0,False,True,,,,,,,,
AlexGeniusMan/Polyus-Hack-2022-RealityX-ML,2.0,37.0,2020-12-01T15:58:39Z,"Focus on Algorithm Design, Not on Data Wrangling",Python,2412.0,1203.0,,False,,,,,,,,
aqillakhamis/gocart-flask,30.0,2.0,2019-07-30T00:45:36Z,Building models for Optical Character Recognition ,Jupyter Notebook,1599.0,1110.0,False,True,,,,,,,,
sushantpattanaik/Linear-regression,30.0,13.0,2021-03-21T05:01:32Z,Zero-Shot Learning in Named Entity Recognition with Common Sense Knowledge,Jupyter Notebook,1613.0,69964.0,False,True,,,,,,,,
Takuonon/UTEP_app,4.0,5.0,2019-11-18T18:42:37Z,Cookiecutter for evaluating algorithms and training models in nussl,Jupyter Notebook,122.0,10885.0,False,True,,,,,,,,
hans/theano-hacked,30.0,2.0,2021-04-14T14:48:28Z,utilities for EREMUS dataset,Python,104.0,352.0,False,True,,,,,,,,
IT-Anfal/streamlit-smart,30.0,2.0,2023-01-11T06:56:11Z,,Python,111.0,6756.0,,False,,,,,,,,
marridG/2023-Spectrum_MOT,30.0,103.0,2017-03-15T14:16:43Z,,HTML,2600.0,48105.0,,False,,,,,,,,
AnReu/ALBERT-for-Math-AR,30.0,7201.0,2019-11-23T18:40:48Z,"An open-source, low-code machine learning library in Python",Jupyter Notebook,401.0,262111.0,False,True,,,,,,,,
SamirMoustafa/auto-features-extraction-for-RL,6.0,2.0,2020-05-26T16:50:04Z,Features Extraction using Autoencoders for Reinforcement Learning Tasks,Jupyter Notebook,152.0,198432.0,False,True,,,,,,,,
ktonal/mimikit,2.0,9.0,2020-10-23T04:17:42Z,Music Modeling Kit,Python,319.0,23239.0,False,True,,,,,,,,
15Moners/fluke,3.0,10.0,2018-01-25T08:17:56Z, 머신러닝 프레임워크를 활용한 비교사(Unsupervised) 학습 모델 구현 프로젝트,Python,26548.0,6968.0,False,True,,,,,,,,
sergevkim/GenerativeModels,30.0,25.0,2021-09-11T06:17:18Z,An Open-Source repository where students could showcase their skills by contributing their ML and DL projects!,Jupyter Notebook,18967.0,262092.0,False,True,,,,,,,,
LEOCUIZHIHAO/kp_cv,5.0,8.0,2019-03-20T16:15:11Z,WIP: evolutionary explorations of weird machines,Rust,605.0,140292.0,False,True,,,,,,,,
naddeoa/whylabs-rayio-sample-integrations,3.0,200.0,2021-03-22T08:59:00Z,[CVPR'21 Oral] Seeing Out of tHe bOx: End-to-End Pre-training for Vision-Language Representation Learning,Python,1101.0,452.0,False,True,,,,,,,,
norbonorbo/30-09,2.0,2.0,2021-11-02T18:13:33Z,,Jupyter Notebook,175.0,15235.0,False,True,,,,,,,,
gebob19/NeuralNetworkRegularization,3.0,12.0,2022-10-05T08:22:42Z,In Defense of the Unitary Scalarization for Deep Multi-Task Learning,Python,165.0,543.0,False,True,,,,,,,,
